Spencer and Janelle Meckley,2,West Nyack,New York,NY
Korey Lacoy and Mallory Heckman,2,Schenectady,New York,NY
Horacio and Donya Heidtman with Guy and Manie Lena,4,Remsenburg,New York,NY
Stephan and Robena Patrie,2,New York,New York,NY
Eusebio Seymoure and Marion Tresler,2,Old Westbury,New York,NY
Herbert and Vennie Danner,2,New York,New York,NY
Brent and Rosenda Pacelli,2,Mt. Kisco,New York,NY
Dewayne and Kirsten Segars Weldon,2,Manhasset,New York,NY
Loise Zelinski and Darrell Komarek,2,Delray Beach,Florida,FL
Rachele and Isidro Dalka,2,St. Petersburg,Florida,FL
Markita and Mariano Daddabbo with Kimberely and Luciano Bortle,4,Naples,Florida,FL
Oneida Torpey with Ruben Lemond and Jasmine Endicott,3,Satellite Beach,Florida,FL
Delmer and Rosana Fragmin,2,Vero Beach,Florida,FL
Rod Haberkorn,1,Seattle,Washington,WA
Kam Brandolini,1,Seattle,Washington,WA
Pete Marzinske and Danyell Doerksen,2,Washington,District of Columbia,DC
Kermit Fidsky and Venessa Mcmillon,2,Washington,District of Columbia,DC
Joe Bedeau and Agripina Basco,2,Washington ,District of Columbia,DC
Andreas and Dorthea Hanselman,2,Baltimore,Maryland,MD
Buford and Rosette Heddins,2,Owings Mills,Maryland,MD
Billy and Ileen Normoyle,2,Santa Barbara,California,CA
Sergio Metia,1,San Diego,California,CA
Vesta Spivey and Claud Veater,2,Coronado,California,CA
Ayana Brison,1,Los Angeles,California,CA
Kenton and Keiko Kou,2,Los Gatos,California,CA
Andres and Karlene Vanzyl,2,Pasadena,California,CA
Troy and Obdulia Stufflebean with Erwin Commiskey,3,Healdsburg,California,CA
Latonya Notter and Trevor Kha,2,La Grange,Illinois,IL
Denice and Cyrus Waychowsky,2,Lisle,Illinois,IL
Shakita Kilcrest,1,Dorchester,Massachusetts,MA
Luis and Herta Agliam with Phil and Erna Prutt,4,Scituate,Massachusets,MA
Tyrone Tade,1,Wellesley,Massachusetts,MA
Drusilla and Pat Horgan,2,Rockport,Massachusetts,MA
Dianne and Darren Dillion,2,Canton,Massachusetts,MA
Cherilyn and Sylvester Veysey,2,Newton Center,Massachusetts,MA
Mirian and Dannie Digman,2,Wellesley Hills,Massachusetts,MA
So Talyor,1,Boxford ,Massachusetts,MA
Alonso and Versie Tomaro,2,Jamestown,Rhode Island,RI
Reyes and Janiece Pascoal,2,Arlington,Virginia,VA
Angel and Dona Deshpande,2,Delaplane,Virginia,VA
Levi and Angelic Warnes,2,Great Falls,Virginia,VA
Forrest and Chrissy Stricklin,2,Great Falls,Virginia,VA
Buster and Aretha Colp,2,Newton Highlands,Virginia,VA
Herschel and Jolene Grunert with Emmitt Yumas and Marguerite Lenord,4,Williamsburg,Virginia,VA
Jules and Tressa Erbentraut,2,Williamsburg,Virginia,VA
Bruno Rickel,1,Eureka Springs,Arkansas,AK
Shirley Bendu,1,Little Rock,Arkansas,AK
Dewitt and Latoya Uptegrove,2,Lawrenceville,New Jersey,NJ
Andy Schammel,1,Princeton,New Jersey,NJ
Deana and Lee Rosendale,2,Princeton,New Jersey,NJ
Jenice Petross,1,Princeton Junction,New Jersey,NJ
Millard Mentgen and Ngoc Delaine,2,Princeton,New Jersey,NJ
Abdul Engemann and Pamella Segal,2,Teaneck,New Jersey,NJ
Man and Enriqueta Grastorf,2,Far Hills,New Jersey,NJ
Eliseo and Diane Derita,2,Winnipeg,Manitoba,MB
Israel and Echo Lulewicz,2,Carson City,Nevada,NV
Duane Benear and Eula Fontana with Esteban Landevos,3,Wauwatosa,Wisconsin,WI
Madeline Rois and Marvin Quine,2,Shaker Heights,Ohio,OH
Josphine Guffey,1,Cincinnati,Ohio,OH
Markus Derwitsch,1,Columbus,Ohio,OH
Ruthanne Magsamen and Doyle Detchon,2,Greenwich,Connecticut,CT
Shawanda and Steven Courchene,2,Riverside,Connecticut,CT
Lorena Degirolamo,1,Minneapolis,Minnesota,MN
Roger Brentson,1,Tucson,Arizona,AZ
Chiquita and Scotty Courey,2,Narberth,Pennsylvania,PA
Ali Giebel,1,Malvern ,Pennsylvania,PA
Peter and Evalyn Dahlstedt,2,Villanova,Pennsylvania,PA
Jake and Alta Ohalloran,2,Mt. Vernon,Maine,ME
Augustus Frankenfeld,1,Dallas,Texas,TX
Tawanda Hermida with Davis Vaden,2,Austin,Texas,TX
Awilda Murrieta,1,Keller,Texas,TX
Trey and Nancee Warrilow,2,San Antonio,Texas,TX
Douglass and Nan Evasco,2,Chesterfield,Missouri,MO
Louie and Hermelinda Berber,2,St. Louis,Missouri,MO
Colby and Camille Klemm,2,Bathurst,South Africa,SA
Felipe and Alexandra Kuliga,2,Boulder,Colorado,CO
Ira and Ivette Rodrique,2,Chapel Hill,North Carolina,NC
